[Wed May 03 16:01:51.054048 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61672] PHP Notice:  Undefined property: stdClass::$description in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 247, referer: http://faculty.com/admin/index.php
[Wed May 03 16:21:08.230108 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:62201] PHP Notice:  Undefined variable: forum in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 31, referer: http://faculty.com/admin/index.php
[Wed May 03 16:22:22.595653 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:62234] PHP Notice:  Undefined variable: forum in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 31, referer: http://faculty.com/admin/index.php
[Wed May 03 16:24:30.079559 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:62279] PHP Notice:  Undefined variable: forum in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 34, referer: http://faculty.com/admin/index.php
[Wed May 03 16:24:39.299290 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:62284] PHP Notice:  Undefined variable: forum in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 34, referer: http://faculty.com/admin/index.php
[Wed May 03 16:25:55.545101 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:62317] PHP Notice:  Undefined variable: output in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 22, referer: http://faculty.com/admin/index.php
[Wed May 03 16:27:00.916359 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:62356] script 'G:/PROJECTS/WEB/faculty/admin/view.php' not found or unable to stat, referer: http://faculty.com/admin/index.php
[Wed May 03 16:58:14.124066 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:62673] PHP Notice:  Undefined index: attendance in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 33, referer: http://faculty.com/admin/index.php
[Wed May 03 16:58:14.152500 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:62673] PHP Notice:  Trying to get property of non-object in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 39, referer: http://faculty.com/admin/index.php
[Wed May 03 16:58:14.153520 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:62673] PHP Notice:  Trying to get property of non-object in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 41, referer: http://faculty.com/admin/index.php
[Wed May 03 16:58:14.153520 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:62673] PHP Notice:  Trying to get property of non-object in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 55, referer: http://faculty.com/admin/index.php
[Wed May 03 17:00:27.619457 2017] [core:error] [pid 4908:tid 1976] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:62690] AH00127: Cannot map POST /admin/$_SERVER['DOCUMENT_ROOT'].%22/functions/constructor.php%22 HTTP/1.1 to file, referer: http://faculty.com/admin/index.php
[Thu May 04 18:37:37.244417 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65286] PHP Notice:  Trying to get property of non-object in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 36, referer: http://faculty.com/admin/
[Thu May 04 18:37:37.244920 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65286] PHP Notice:  Trying to get property of non-object in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 36, referer: http://faculty.com/admin/
[Thu May 04 18:37:37.244920 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65286] PHP Notice:  Trying to get property of non-object in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 36, referer: http://faculty.com/admin/
[Thu May 04 18:37:37.244920 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65286] PHP Notice:  Trying to get property of non-object in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 36, referer: http://faculty.com/admin/
[Thu May 04 18:37:37.245419 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65286] PHP Notice:  Trying to get property of non-object in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 36, referer: http://faculty.com/admin/
[Thu May 04 18:37:37.245419 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65286] PHP Notice:  Trying to get property of non-object in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 36, referer: http://faculty.com/admin/
[Thu May 04 18:37:37.245419 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65286] PHP Notice:  Trying to get property of non-object in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 36, referer: http://faculty.com/admin/
[Thu May 04 18:52:58.385823 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65333] PHP Notice:  Undefined variable: id in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 47, referer: http://faculty.com/admin/
[Thu May 04 18:53:16.123816 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65335] PHP Notice:  Undefined variable: id in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 11, referer: http://faculty.com/admin/
[Thu May 04 18:53:16.920289 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65335] PHP Notice:  Undefined variable: id in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 11, referer: http://faculty.com/admin/
[Thu May 04 18:53:21.601524 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65335] PHP Notice:  Undefined variable: id in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 11, referer: http://faculty.com/admin/
[Thu May 04 18:53:23.509642 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:65336] PHP Notice:  Undefined variable: id in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 11, referer: http://faculty.com/admin/index.php
[Thu May 04 19:21:11.108068 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:65444] PHP Notice:  Undefined variable: pass in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 53, referer: http://faculty.com/admin/index.php
[Thu May 04 19:21:11.108565 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:65444] PHP Notice:  Undefined variable: url in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 53, referer: http://faculty.com/admin/index.php
[Thu May 04 19:21:11.139126 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:65444] PHP Notice:  Trying to get property of non-object in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 80, referer: http://faculty.com/admin/index.php
[Thu May 04 19:21:52.709777 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65450] PHP Notice:  Undefined variable: pass in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 53, referer: http://faculty.com/admin/index.php
[Thu May 04 19:21:52.709777 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65450] PHP Notice:  Undefined variable: url in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 53, referer: http://faculty.com/admin/index.php
[Thu May 04 19:21:52.723313 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65450] PHP Notice:  Trying to get property of non-object in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 80, referer: http://faculty.com/admin/index.php
